,titles,links,dates,contents
92,[제목 : [야놀자] 비전펀드가 10조 밸류로 들어왔는데.. ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=132,2021-07-16,10%~20% 먹으려고 2조 때려박는 어중이떠중이도 아닌데 지금 매우 저평가같긴 하네요 ㅋㅋㅋ 쿠팡 사례를 봤을 때도 최소 몇배는 보고 들어왔을 텐데... 2년 뒤 정말 미국에 상장한다고 하면 최소 50조는 가지 않을까 싶네요 
93,"[제목 : [야놀자] 쿠팡 수익 10배, 도어대시 수익 13배 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=133,2021-07-16,비전펀드 투자해서 얻은 수익임야놀자.2조 투자. 현재 10조가치 평가손정의가 여기 죽치고 주가 내려가라고 댓글올리는 빠가들이랑. 싸게 못사서 배아파 디지는 주린이들처럼 2배 먹을려구 들어왔겠니. 손정의가 먹튀면 니들은 뭐니?상장전에 유니콘 기업투자해서수익 보고 나가는게. 무슨 먹튀야니들은 더 하잔아
94,[코멘트 : [야놀자] 내가 잡아줄까? ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=135,2021-07-19,내가 잡아줄까?
95,[코멘트 : [야놀자] 프 리스닥 검색하시면 비상장주식 담보로 대출 가능합 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=136,2021-07-27,"프 리스닥 검색하시면 비상장주식 담보로 대출 가능합니다. 여기 38사이트에서도 광고하고 있구여...절차도 복잡한거 없이 방문해서 계약서 쓰고 주식에 질권설정 진행합니다.저도 이전에 카카오게임즈,지엔티파마 로 담보잡고 잘 사용했습니다.야놀자로 문의하시면 가능하실거에여~!!"
96,"[코멘트 : [야놀자] 글쓰고 도망갔냐.  야놀자 계속 오르네
나스닥 갈때 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=137,2021-07-31,글쓰고 도망갔냐.  야놀자 계속 오르네나스닥 갈때 쯤이면 50만원 넘겠다 된장들아
97,[제목 : [야놀자] 2조 투자가 다 들어왔나요? 아님 계약만 된건가요? ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=139,2021-08-24,"기사들이 분명하지 않네요.야놀자에 관심갖고 아무리 찾아봐도 비전펀드가 도대체 어떤 방식으로 보통주 또는 우선주를 몇주 샀다. 또는 증자에 참여했다는 기사는 없네요.그냥 모호하게 1700억불, 2조원 투자확정. 10조가치. 이렇게만 표현되어 있네요.법인 등기부 등본의 변화를 찾아봐도 작년 대비 주식 겨우 200만주밖에 늘지 않아서 신주투자한 흔적은 전혀 없네요.그렇다면 결국 구주를 샀다는 이야긴가요?혹시 구체적인 투자 내용에 대해 아시는 분 있으면 정보 공유 부탁드려요."
98,[코멘트 : [야놀자] 돈 들어왔으니. 걱정하지 마셔 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=141,2021-08-25,돈 들어왔으니. 걱정하지 마셔
99,[제목 : [야놀자] 상장되나요? ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=143,2021-10-07,뉴스만 나오고
100,[제목 : [야놀자] 뉴스에 뭐라 써있디 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=144,2021-10-09,상장 언제 한다고 써있잖아ps. 상장 언제냐고 써놨다가 답글다니 바꿔놓는건 뭐냐    업자냐? ㅋㅋ
101,"[제목 : [야놀자]
 인터파크 2천940억원에 인수. 해외 여행시장 공략 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=146,2021-10-14,야놀자는 여행·공연·쇼핑·도서 등의 인터파크 사업 부문 지분 70%를 2천940억원에 인수하기로 하고 양해각서를 체결했다고 14일 밝혔다.
102,"[제목 : [야놀자]
 M&A로 몸집 불린 야놀자, KPMG 손잡고 美 상장 속도 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=147,2021-10-29,"야놀자, 글로벌 회계법인 KPMG와 해외 진출 컨설팅이르면 2022년 미국 유가증권시장 데뷔 가능할 듯"
103,[제목 : [야놀자] 내년 3월 정기주주총회 기대됨ㅎ ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=148,2021-11-13,내년 3월 정기주주총회 기대됨ㅎ
104,[제목 : [야놀자] 수익봤으면 된거지 뭐~ ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=149,2021-11-14,수익봤으면 된거지 뭐~
105,[제목 : [야놀자] 야놀자와 같이가는 아이템 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=150,2021-11-18,밀크코인   손정의가 1조에서 2조를 왜투자  나스닥 간다는거죠
106,[제목 : [야놀자] 12월1일 주총 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=151,2021-11-19,"임시주총 안건이 주식매수선택권 부여던데행사가가 102,000원이네요."
107,[제목 : [야놀자] 저도 밀크코인 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=152,2021-11-19,관심종목 넣어놓고매수 대기중생각이 비슷하시네요
108,"[코멘트 : [야놀자] 안건정보는 어디서보나요??
임원에게 부여되는건가요 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=153,2021-11-22,안건정보는 어디서보나요??임원에게 부여되는건가요?
109,[코멘트 : [야놀자] 우편물이 왔었습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=155,2021-11-23,우편물이 왔었습니다.
110,[제목 : [야놀자] 2만원적정가 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=157,2021-12-07,현제는 핵거품 입니다빠굴뛰고 10%수수료 개쳐먹는곳이무엇이 대단한 사업이라고 시총이10조 20조를 논한다는 자체가 �媛걋볼恬�
111,[제목 : [야놀자] 2만원적정가 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=158,2021-12-09,어떤 사업으로 세계 2위이고코로나에도 흑자낸건지공부 좀 하고 안티하세요님이 너무 안타깝네요
112,[제목 : [야놀자] 2만원적정가 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=163,2022-01-01,현재 가격에 거품이 낀건 사실이라고 생각합니다.모텔로 출발한 회사가 테크놀로지를 내세우며 이미지 메이킹을 시도하는게 잘 될지도 의문이 들기도 합니다.그래도 우리 주주님들은 돈만 벌면 되는 것 아닐까요...?다들 성투 하시길 바랍니다. 우린 야놀자로 돈만 벌면 되니까요..ㅋㅋㅋㅋ
113,[제목 : [야놀자] 2만원적정가 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=165,2022-04-28,"놀고들 있네, 2만원이 아니라 '2만달러'"
114,[제목 : [야놀자] 옆 집 어느 한 두 사람 때문에 주가 박살 나는구먼~~ ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=171,2022-07-14,"옆 동네 어느 한 두 놈의 계속되는 매도물 때메, 주가 박살 나는구먼,,   ㅠㅠ~~ 나도 주식을 좀 갖고는 있다만, 해볼테면 해봐라,,쭈~욱 5만, 4만, 3만 까지 빼보자. 주식 많이 갖고 있는 사람만 손해지 뭐~ ㅠㅠ~~ "
115,[제목 : [야놀자] 야놀자는 쿠팡공모가 때문에 고점 찍었음 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=172,2022-07-24,지금 쿠팡 17불 감안시 야놀자 가격은 2만원도 비쌈그리고 야놀자 통해 숙소 예약시 최고가로 예약할 가능성 아주 높음.
116,[제목 : [야놀자] 손정의가 보면 환장 하겠구먼~~ ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=174,2022-07-31,"손정의회장이 주가 보면 환장 하겠구먼~~   2조 투자에 거의 40% 까였으니,,, 8,000억 손실~~   아무리 호재가 있어도, 헐값에라도 팔려는 사람이 너무 많은 게 문제.   나스닥 상장을 바라보는 야놀자 회사는 이 상황을 어떻게 보고 있을지 궁금하군??     "
