구분,보통휘발유,자동차용경유
2022. 8. 26,1737.77,1838.58
2022. 8. 27,1738,1838.82
2022. 8. 28,1738.06,1839.07
2022. 8. 29,1738.53,1840.79
2022. 8. 30,1740.46,1845.33
2022. 8. 31,1741.71,1847.37
2022. 9. 1,1742.51,1850.3
2022. 9. 2,1742.01,1850.7
2022. 9. 3,1741.46,1850.67
2022. 9. 4,1741.41,1850.76
2022. 9. 5,1741.49,1851.27
2022. 9. 6,1741.42,1851.76
2022. 9. 7,1740.99,1852.57
2022. 9. 8,1740.61,1853.89
2022. 9. 9,1740.42,1854.92
2022. 9. 10,1740.44,1855.39
2022. 9. 11,1740.46,1855.82
2022. 9. 12,1740.15,1856.09
2022. 9. 13,1740.54,1857.38
2022. 9. 14,1740.38,1858.63
2022. 9. 15,1740.34,1860.41
2022. 9. 16,1739.33,1860.74
2022. 9. 17,1737.72,1859.89
2022. 9. 18,1736.95,1859.21
2022. 9. 19,1735.73,1858.61
2022. 9. 20,1731.92,1855.12
2022. 9. 21,1728.37,1852.35
2022. 9. 22,1724.95,1849.76
2022. 9. 23,1721.16,1847.31
2022. 9. 24,1717.19,1844.45
2022. 9. 25,1715.25,1843.21
2022. 9. 26,1711.53,1841
2022. 9. 27,1705.43,1836.98
2022. 9. 28,1698.78,1832.33
2022. 9. 29,1693.28,1828.79
2022. 9. 30,1688.3,1826.08
