iter	Passed	Remaining
855	6533	1099
856	6540	1091
857	6547	1083
858	6558	1076
859	6566	1068
860	6571	1060
861	6578	1053
862	6585	1045
863	6593	1037
864	6602	1030
865	6609	1022
866	6614	1014
867	6620	1006
868	6627	999
869	6634	991
870	6642	983
871	6648	975
872	6656	968
873	6666	961
874	6671	953
875	6677	945
876	6683	937
877	6689	929
878	6696	921
879	6704	914
880	6710	906
881	6717	898
882	6725	891
883	6731	883
88886	6744	8588887	6751	85886	6752	860
88889	6770	8388890	6777	8288891	6785	821
892	6792	813
893	6798	806
894	6804	798
895	6811	7989896	6817	7889897	6824	7789898	6834	7689899	6842	760
900	6849	752
901	6856	744
902	6863	737
903	6869	7290904	6875	7290905	6883	7190906	6898	707
907	6904	699
908	6911	691
909	6917	684
910	6924	676
911	6930	668
912	6938	6691913	6945	6591914	6952	6491915	6960	6391916	6969	630
917	6977	6291918	6983	6191919	6990	607
920	6999	600
921	7006	592
922	7012	5892923	7020	577
924	7030	570
925	7038	562
926	7043	554
927	7048	5492928	7053	5392929	7064	531
930	7071	5292931	7078	5193932	7084	50931	7088	517
932	7094	509
933	7101	501
934	7110	494
935	7120	486
936	7127	479
937	7134	471
938	7141	463
939	7147	456
940	7154	448
941	7160	440
942	7169	433
943	7182	426
944	7189	418
945	7196	410
946	7204	403
947	7211	395
948	7217	387
949	7225	380
950	7232	372
951	7239	365
952	7246	357
953	7252	349
954	7258	342
955	7265	334
956	7271	326
957	7277	319
958	7283	311
959	7292	303
960	7301	296
961	7306	288
962	7963	7335963	7964	7351	266
965	7363	259
966	7376	251
967	7389	244
968	7399	236
969	7408	229
970	7417	221
971	7423	213
972	7430	206
973	7437	198
974	7444	190
975	7452	183
976	7458	175
977	7464	167
978	7471	160
979	7478	152
980	7483	144
981	7489	137
982	7495	129
983	7503	122
984	7511	114
985	7518	106
986	7525	99
987	7533	91
988	7539	83
989	7547	76
990	7553	68
991	7559	60
992	7565	53
993	7570	45
994	7574	38
995	7579	30
996	7582	22
997	7585	15
998	7588	7
999	7591	0
	7561	0
